Name,Type,Level,Rarity,Damage,Health,Energy,Sanity,Timestamp
Faerie Dragon,Dragon,10,Rank 0,10d2,20.3,20.52,19.75,2024-07-05 09:30:11
Night Hag,Demonic,5,Rank 0,5d2+1,10.73,9.55,9.31,2024-07-05 09:30:11
Goblin Guard,Devilkin,11,Rank 1,11d4+2,45.62,43.7,43.4,2024-07-05 09:30:11
Mummy Lord,Undead,1,Rank 2,1d6+2,7.93,7.9,4.44,2024-07-05 09:30:11
Red Faerie,Fey,8,Rank 2,8d6+3,46.51,45.92,47.49,2024-07-05 09:30:11
Faerie Dragon,Dragon,13,Rank 1,13d4+2,52.5,51.97,51.44,2024-07-05 09:30:11
Ice Mephit,Elemental,4,Rank 2,4d6,22.51,26.0,24.06,2024-07-05 09:30:11
Imp,Demonic,8,Rank 1,8d4,33.81,33.33,30.93,2024-07-05 09:30:11
Pit Lord,Devilkin,4,Rank 5,4d12,52.16,50.43,43.58,2024-07-05 09:30:11
Dust Elemental,Elemental,3,Rank 0,3d2,5.08,6.71,5.09,2024-07-05 09:30:11
Platinum Faerie,Fey,10,Rank 3,10d8+2,77.03,80.47,79.16,2024-07-05 09:30:11
Ghostly Knight,Undead,4,Rank 4,4d10,39.64,38.28,35.64,2024-07-05 09:30:11
Spore Mephit,Elemental,4,Rank 3,4d8,33.63,28.12,35.67,2024-07-05 09:30:11
Black Archfey,Fey,11,Rank 0,11d2+3,22.76,22.87,22.49,2024-07-05 09:30:11
Silver Wyrmling,Dragon,18,Rank 2,18d6+1,110.04,106.73,110.7,2024-07-05 09:30:11
Pit Fiend,Demonic,5,Rank 1,5d4,18.72,20.33,20.73,2024-07-05 09:30:11
Pseudodragon,Dragon,13,Rank 0,13d2+1,26.2,26.16,26.74,2024-07-05 09:30:11
Djinni,Elemental,5,Rank 0,5d2,10.62,9.83,10.15,2024-07-05 09:30:11
Ice Devil,Devilkin,8,Rank 1,8d4,30.59,31.88,31.6,2024-07-05 09:30:11
Vampire,Undead,8,Rank 2,8d6+5,47.83,48.3,49.1,2024-07-05 09:30:11
Brass Demon,Demonic,4,Rank 1,4d4+3,15.51,15.71,17.94,2024-07-05 09:30:11
Succubus,Devilkin,10,Rank 1,10d4+4,39.7,40.73,41.93,2024-07-05 09:30:11
Banshee,Undead,7,Rank 0,7d2+1,14.51,14.88,13.26,2024-07-05 09:30:11
Copper Demon,Demonic,5,Rank 2,5d6+3,29.13,27.02,31.45,2024-07-05 09:30:11
Dust Devil,Devilkin,3,Rank 2,3d6,17.05,17.95,19.9,2024-07-05 09:30:11
Lich King,Undead,16,Rank 1,16d4+4,63.71,65.61,62.54,2024-07-05 09:30:11
Spore Archfey,Fey,11,Rank 0,11d2+2,22.35,22.0,22.07,2024-07-05 09:30:11
Demilich,Undead,2,Rank 1,2d4+1,9.9,8.93,7.31,2024-07-05 09:30:11
Pit Fiend,Demonic,16,Rank 1,16d4+3,64.76,63.22,65.32,2024-07-05 09:30:11
Kobold Archer,Devilkin,16,Rank 1,16d4+1,63.44,63.44,64.58,2024-07-05 09:30:11
Zombie Mage,Undead,3,Rank 0,3d2,6.23,5.89,5.16,2024-07-05 09:30:11
Night Hag,Demonic,8,Rank 3,8d8+1,65.44,62.91,65.27,2024-07-05 09:30:11
Pseudodragon,Dragon,4,Rank 1,4d4+3,15.76,14.06,16.87,2024-07-05 09:30:11
Ice Mephit,Elemental,12,Rank 3,12d8+5,94.63,94.49,95.26,2024-07-05 09:30:11
Red Archfey,Fey,10,Rank 0,10d2,19.38,20.95,20.39,2024-07-05 09:30:11
Platinum Wyrmling,Dragon,12,Rank 1,12d4+1,47.47,46.91,46.19,2024-07-05 09:30:11
Magma Elemental,Elemental,3,Rank 4,3d10+1,31.59,29.22,27.64,2024-07-05 09:30:11
Imp,Demonic,10,Rank 4,10d10+3,100.21,97.52,98.05,2024-07-05 09:30:11
Prismatic Faerie,Fey,8,Rank 0,8d2+2,16.84,16.49,15.83,2024-07-05 09:30:11
Steam Devil,Devilkin,1,Rank 2,1d6+2,5.0,3.22,5.31,2024-07-05 09:30:11
Wight,Undead,4,Rank 1,4d4+1,16.34,16.46,16.72,2024-07-05 09:30:11
Hook Horror,Demonic,2,Rank 0,2d2+3,3.49,4.84,3.25,2024-07-05 09:30:11
Prince of Fear,Devilkin,7,Rank 1,7d4+2,28.33,27.82,27.32,2024-07-05 09:30:11
Skeletal Villager,Undead,11,Rank 0,11d2,21.73,22.33,22.29,2024-07-05 09:30:11
Spore Spirit,Fey,17,Rank 2,17d6+1,101.28,100.86,103.81,2024-07-05 09:30:11
Demilich,Undead,10,Rank 0,10d2,19.18,19.44,20.27,2024-07-05 09:30:11
Ice Elemental,Elemental,2,Rank 0,2d2+3,3.93,4.58,3.91,2024-07-05 09:30:11
Magma Archfey,Fey,9,Rank 3,9d8+1,69.64,70.81,69.72,2024-07-05 09:30:11
Bronze Drake,Dragon,12,Rank 5,12d12,146.09,140.18,143.01,2024-07-05 09:30:11
Efreeti,Elemental,8,Rank 3,8d8,61.98,67.75,62.24,2024-07-05 09:30:11
Goblin Guard,Devilkin,2,Rank 2,2d6+2,13.05,12.07,13.08,2024-07-05 09:30:11
Wight,Undead,11,Rank 1,11d4+1,44.6,44.57,43.37,2024-07-05 09:30:11
Hell Hound,Demonic,15,Rank 1,15d4+5,60.98,60.0,60.63,2024-07-05 09:30:11
Brass Faerie,Fey,3,Rank 1,3d4,12.94,11.93,13.71,2024-07-05 09:30:11
Green Drake,Dragon,4,Rank 2,4d6+2,25.61,25.73,24.07,2024-07-05 09:30:11
Hell Hound,Demonic,13,Rank 0,13d2+1,26.0,25.74,25.76,2024-07-05 09:30:11
Incubus,Devilkin,9,Rank 2,9d6+1,55.35,52.61,54.36,2024-07-05 09:30:11
Revenant,Undead,4,Rank 1,4d4+1,15.81,16.02,17.11,2024-07-05 09:30:11
Night Hag,Demonic,8,Rank 2,8d6+2,48.88,50.19,48.21,2024-07-05 09:30:11
Pit Lord,Devilkin,7,Rank 0,7d2+4,14.93,13.48,13.61,2024-07-05 09:30:11
Ghostly Knight,Undead,18,Rank 4,18d10,179.47,182.12,183.77,2024-07-05 09:30:11
Night Hag,Demonic,6,Rank 4,6d10,60.64,56.61,63.43,2024-07-05 09:30:11
Kobold Archer,Devilkin,11,Rank 1,11d4,44.12,44.31,44.92,2024-07-05 09:30:11
Skeletal Mage,Undead,8,Rank 4,8d10+2,80.58,82.65,81.35,2024-07-05 09:30:11
Steam Mephit,Elemental,4,Rank 5,4d12+2,47.4,51.07,50.96,2024-07-05 09:30:11
Ice Spirit,Fey,6,Rank 1,6d4,22.43,22.55,25.01,2024-07-05 09:30:11
Black Wyrmling,Dragon,3,Rank 4,3d10+1,32.25,25.24,32.42,2024-07-05 09:30:11
Djinni,Elemental,8,Rank 3,8d8,67.53,63.24,64.74,2024-07-05 09:30:11
Bronze Archfey,Fey,7,Rank 0,7d2+1,14.51,14.99,13.9,2024-07-05 09:30:11
Wyvern,Dragon,1,Rank 1,1d4+4,4.46,5.24,5.29,2024-07-05 09:30:11
Skeletal Villager,Undead,9,Rank 2,9d6+1,56.23,52.95,52.68,2024-07-05 09:30:11
Night Hag,Demonic,3,Rank 4,3d10,26.94,27.52,29.01,2024-07-05 09:30:11
Pit Lord,Devilkin,7,Rank 2,7d6,41.77,44.1,39.76,2024-07-05 09:30:11
Death Knight,Undead,2,Rank 0,2d2,3.06,4.84,3.96,2024-07-05 09:30:11
Djinni,Elemental,10,Rank 2,10d6+1,62.64,60.31,60.23,2024-07-05 09:30:11
Pit Lord,Devilkin,16,Rank 3,16d8,129.57,130.36,130.5,2024-07-05 09:30:11
Sapphire Wyrmling,Dragon,5,Rank 0,5d2+4,10.38,9.05,9.28,2024-07-05 09:30:11
Ghast,Undead,12,Rank 2,12d6+1,73.99,73.03,71.56,2024-07-05 09:30:11
Night Hag,Demonic,7,Rank 1,7d4,27.45,28.03,29.09,2024-07-05 09:30:11
Faerie Dragon,Dragon,6,Rank 0,6d2+2,12.87,11.14,11.89,2024-07-05 09:30:11
Flame Elemental,Elemental,7,Rank 1,7d4+1,27.57,27.21,26.82,2024-07-05 09:30:11
Balor,Demonic,3,Rank 2,3d6+4,17.03,19.59,16.04,2024-07-05 09:30:11
Dust Archfey,Fey,5,Rank 3,5d8,37.04,40.33,42.19,2024-07-05 09:30:11
Emerald Wyrmling,Dragon,4,Rank 3,4d8,35.38,33.57,32.93,2024-07-05 09:30:11
Zombie Guard,Undead,1,Rank 5,1d12+1,12.49,10.86,15.03,2024-07-05 09:30:11
Hell Hound,Demonic,3,Rank 1,3d4+1,13.07,11.07,10.59,2024-07-05 09:30:11
Kobold Mage,Devilkin,8,Rank 0,8d2+2,15.66,15.48,15.43,2024-07-05 09:30:11
Revenant,Undead,5,Rank 2,5d6,28.93,31.28,31.65,2024-07-05 09:30:11
Balor,Demonic,3,Rank 0,3d2+2,6.91,6.75,6.3,2024-07-05 09:30:11
Smoke Devil,Devilkin,3,Rank 1,3d4,11.2,10.29,11.65,2024-07-05 09:30:11
Djinni,Elemental,19,Rank 0,19d2+2,37.37,37.34,37.84,2024-07-05 09:30:11
White Archfey,Fey,10,Rank 1,10d4+4,39.0,39.14,40.97,2024-07-05 09:30:11
Silver Drake,Dragon,11,Rank 3,11d8+2,85.02,90.75,88.99,2024-07-05 09:30:11
Efreeti,Elemental,7,Rank 3,7d8,52.93,53.11,53.57,2024-07-05 09:30:11
Mud Devil,Devilkin,12,Rank 3,12d8+1,96.3,97.35,93.07,2024-07-05 09:30:11
Ghostly Villager,Undead,4,Rank 0,4d2,7.2,8.31,8.23,2024-07-05 09:30:11
Balor,Demonic,5,Rank 4,5d10+3,46.76,50.73,48.9,2024-07-05 09:30:11
Brass Faerie,Fey,4,Rank 2,4d6+1,23.01,22.05,21.95,2024-07-05 09:30:11
Faerie Dragon,Dragon,14,Rank 2,14d6+3,83.06,83.69,82.44,2024-07-05 09:30:11
Dust Mephit,Elemental,2,Rank 3,2d8+3,18.72,13.93,17.23,2024-07-05 09:30:11
Shadow Spirit,Fey,13,Rank 0,13d2,25.05,25.2,26.6,2024-07-05 09:30:11
Lich,Undead,6,Rank 0,6d2,12.52,12.72,12.26,2024-07-05 09:30:11
Ice Spirit,Fey,6,Rank 2,6d6+1,34.79,35.75,36.45,2024-07-05 09:30:11
Prismatic Drake,Dragon,2,Rank 1,2d4+1,9.37,6.87,8.1,2024-07-05 09:30:11
Efreeti,Elemental,3,Rank 2,3d6,19.36,19.8,18.61,2024-07-05 09:30:11
Hell Hound,Demonic,2,Rank 2,2d6+2,14.97,10.99,12.38,2024-07-05 09:30:11
Dust Devil,Devilkin,5,Rank 0,5d2,10.43,9.36,9.74,2024-07-05 09:30:11
Faerie Dragon,Dragon,6,Rank 2,6d6,34.78,36.34,34.15,2024-07-05 09:30:11
Efreeti,Elemental,10,Rank 1,10d4+2,40.2,41.76,40.02,2024-07-05 09:30:11
Succubus,Devilkin,10,Rank 0,10d2+2,19.95,19.29,19.62,2024-07-05 09:30:11
Dracolich,Undead,7,Rank 0,7d2+1,13.43,14.67,14.47,2024-07-05 09:30:11
Silver Faerie,Fey,13,Rank 1,13d4+1,51.75,51.2,51.38,2024-07-05 09:30:11
Goblin Guard,Devilkin,2,Rank 0,2d2+2,4.85,4.74,4.88,2024-07-05 09:30:11
Faerie Dragon,Dragon,2,Rank 0,2d2+1,3.55,4.74,3.34,2024-07-05 09:30:11
Demilich,Undead,15,Rank 0,15d2,30.6,29.62,29.41,2024-07-05 09:30:11
Imp,Demonic,3,Rank 1,3d4,12.79,11.17,13.14,2024-07-05 09:30:11
Prince of Fear,Devilkin,3,Rank 0,3d2+4,6.8,5.24,6.77,2024-07-05 09:30:11
Faerie Dragon,Dragon,11,Rank 0,11d2+1,21.15,21.86,22.37,2024-07-05 09:30:11
Spore Elemental,Elemental,11,Rank 3,11d8+4,88.74,87.32,88.0,2024-07-05 09:30:11
Sapphire Faerie,Fey,4,Rank 2,4d6,25.2,25.14,23.72,2024-07-05 09:30:11
Wraith,Undead,9,Rank 4,9d10+2,86.1,91.58,87.07,2024-07-05 09:30:11
Gold Demon,Demonic,9,Rank 3,9d8+1,68.96,75.79,71.18,2024-07-05 09:30:11
Faerie Dragon,Dragon,4,Rank 0,4d2+1,7.67,7.27,8.56,2024-07-05 09:30:11
Lich,Undead,13,Rank 2,13d6+2,77.44,79.01,76.88,2024-07-05 09:30:11
Nightmare,Demonic,12,Rank 5,12d12,140.33,148.08,142.04,2024-07-05 09:30:11
Succubus,Devilkin,8,Rank 1,8d4+4,30.65,30.93,33.78,2024-07-05 09:30:11
Ghoul,Undead,5,Rank 3,5d8,37.66,38.47,38.51,2024-07-05 09:30:11
Magma Mephit,Elemental,12,Rank 2,12d6,72.25,70.72,72.87,2024-07-05 09:30:11
Prismatic Faerie,Fey,15,Rank 0,15d2+2,29.83,29.08,29.83,2024-07-05 09:30:11
Wyvern,Dragon,13,Rank 0,13d2,25.38,25.82,25.99,2024-07-05 09:30:11
Djinni,Elemental,4,Rank 0,4d2+1,7.63,7.81,8.87,2024-07-05 09:30:11
Kobold Knight,Devilkin,17,Rank 1,17d4,66.9,68.42,67.37,2024-07-05 09:30:11
Lich,Undead,13,Rank 2,13d6+3,76.55,77.03,75.08,2024-07-05 09:30:11
Hell Hound,Demonic,11,Rank 2,11d6+4,65.0,68.86,63.52,2024-07-05 09:30:11
Dust Archfey,Fey,4,Rank 0,4d2,7.13,7.59,8.82,2024-07-05 09:30:11
Pseudodragon,Dragon,1,Rank 0,1d2+3,1.7,2.21,2.39,2024-07-05 09:30:11
Poltergeist,Undead,6,Rank 0,6d2,12.86,12.8,11.34,2024-07-05 09:30:11
Hook Horror,Demonic,6,Rank 0,6d2,11.43,11.22,11.85,2024-07-05 09:30:11
Faerie Dragon,Dragon,3,Rank 5,3d12+1,32.95,30.6,40.88,2024-07-05 09:30:11
Steam Mephit,Elemental,3,Rank 4,3d10+2,34.69,31.31,28.01,2024-07-05 09:30:11
Red Faerie,Fey,5,Rank 2,5d6+3,29.64,29.12,32.58,2024-07-05 09:30:11
Emerald Drake,Dragon,8,Rank 3,8d8+5,62.44,63.41,63.74,2024-07-05 09:30:11
Smoke Elemental,Elemental,11,Rank 0,11d2,22.6,21.73,21.83,2024-07-05 09:30:11
Prince of Fear,Devilkin,9,Rank 2,9d6+2,51.32,54.84,52.63,2024-07-05 09:30:11
Dracolich,Undead,10,Rank 2,10d6,57.98,58.72,59.24,2024-07-05 09:30:11
Balor,Demonic,6,Rank 4,6d10,63.79,61.9,63.43,2024-07-05 09:30:11
Platinum Archfey,Fey,3,Rank 2,3d6+3,19.05,17.11,18.06,2024-07-05 09:30:11
Pit Lord,Devilkin,2,Rank 3,2d8,14.68,18.19,18.04,2024-07-05 09:30:11
Flame Mephit,Elemental,2,Rank 4,2d10+1,17.06,18.34,20.25,2024-07-05 09:30:11
Shadow Archfey,Fey,6,Rank 0,6d2,11.21,11.42,11.81,2024-07-05 09:30:11
Smoke Devil,Devilkin,6,Rank 3,6d8+5,51.98,44.92,51.5,2024-07-05 09:30:11
Revenant,Undead,11,Rank 0,11d2+1,22.03,21.92,21.73,2024-07-05 09:30:11
Hook Horror,Demonic,10,Rank 3,10d8+1,82.58,78.43,81.13,2024-07-05 09:30:11
Pit Lord,Devilkin,4,Rank 3,4d8+2,34.32,33.22,30.53,2024-07-05 09:30:11
Djinni,Elemental,8,Rank 1,8d4+2,31.32,32.28,30.37,2024-07-05 09:30:11
Mud Spirit,Fey,4,Rank 3,4d8,29.31,31.31,34.61,2024-07-05 09:30:11
Vampire,Undead,5,Rank 0,5d2+2,10.73,9.22,10.38,2024-07-05 09:30:11
Ruby Demon,Demonic,10,Rank 0,10d2+4,20.07,20.0,20.44,2024-07-05 09:30:11
Prince of Fear,Devilkin,5,Rank 3,5d8+1,38.23,40.0,39.83,2024-07-05 09:30:11
Djinni,Elemental,13,Rank 5,13d12+2,151.4,156.38,158.89,2024-07-05 09:30:11
Kobold Archer,Devilkin,15,Rank 2,15d6+4,87.23,88.95,91.85,2024-07-05 09:30:11
Dracolich,Undead,7,Rank 0,7d2+1,13.18,13.07,14.99,2024-07-05 09:30:11
Spore Elemental,Elemental,3,Rank 0,3d2,6.29,6.53,5.42,2024-07-05 09:30:11
Hook Horror,Demonic,9,Rank 2,9d6,54.18,55.69,53.44,2024-07-05 09:30:11
Pit Lord,Devilkin,9,Rank 1,9d4,34.77,37.91,35.74,2024-07-05 09:30:11
Flame Mephit,Elemental,3,Rank 1,3d4+3,11.65,12.42,13.78,2024-07-05 09:30:11
Night Hag,Demonic,16,Rank 0,16d2+2,32.72,32.46,31.53,2024-07-05 09:30:11
Pit Lord,Devilkin,6,Rank 0,6d2,12.68,11.53,11.52,2024-07-05 09:30:11
Wight,Undead,3,Rank 2,3d6+1,16.63,18.93,19.92,2024-07-05 09:30:11
Balor,Demonic,10,Rank 0,10d2+3,20.74,19.12,20.33,2024-07-05 09:30:11
Sapphire Wyrmling,Dragon,6,Rank 0,6d2+4,11.48,11.25,11.27,2024-07-05 09:30:11
Dust Mephit,Elemental,10,Rank 2,10d6,58.66,62.01,58.86,2024-07-05 09:30:11
Gold Archfey,Fey,5,Rank 4,5d10,53.53,53.87,48.27,2024-07-05 09:30:11
Revenant,Undead,14,Rank 5,14d12,173.22,170.89,170.37,2024-07-05 09:30:11
Nightmare,Demonic,3,Rank 0,3d2+1,6.98,5.96,6.47,2024-07-05 09:30:11
Silver Wyrmling,Dragon,14,Rank 2,14d6+1,82.86,81.8,81.4,2024-07-05 09:30:11
Lightning Elemental,Elemental,5,Rank 2,5d6+1,30.15,32.2,28.68,2024-07-05 09:30:11
Emerald Faerie,Fey,13,Rank 2,13d6+3,76.69,78.54,75.12,2024-07-05 09:30:11
Copper Dragon,Dragon,4,Rank 0,4d2+2,7.41,7.28,8.71,2024-07-05 09:30:11
Poltergeist,Undead,4,Rank 0,4d2,7.44,7.96,7.64,2024-07-05 09:30:11
Imp,Demonic,9,Rank 1,9d4+2,35.03,35.43,36.45,2024-07-05 09:30:11
Red Faerie,Fey,16,Rank 2,16d6+1,95.25,96.16,93.97,2024-07-05 09:30:11
Blue Dragon,Dragon,12,Rank 0,12d2+1,23.89,24.49,24.45,2024-07-05 09:30:11
Flame Elemental,Elemental,4,Rank 0,4d2+2,8.84,7.78,8.24,2024-07-05 09:30:11
Goblin Guard,Devilkin,18,Rank 0,18d2,35.23,35.58,35.97,2024-07-05 09:30:11
Banshee,Undead,8,Rank 2,8d6+2,47.29,45.6,50.94,2024-07-05 09:30:11
Shadow Spirit,Fey,7,Rank 1,7d4+2,28.16,26.64,26.75,2024-07-05 09:30:11
Platinum Dragon,Dragon,9,Rank 0,9d2,18.38,17.53,17.2,2024-07-05 09:30:11
Revenant,Undead,6,Rank 0,6d2+2,11.79,11.88,12.5,2024-07-05 09:30:11
Nightmare,Demonic,9,Rank 1,9d4+5,35.57,34.59,35.58,2024-07-05 09:30:11
Goblin Mage,Devilkin,5,Rank 3,5d8+2,42.35,40.84,38.06,2024-07-05 09:30:11
Lich King,Undead,12,Rank 2,12d6+3,74.33,72.38,71.26,2024-07-05 09:30:11
Smoke Elemental,Elemental,15,Rank 0,15d2+2,29.49,30.45,29.86,2024-07-05 09:30:11
Mud Devil,Devilkin,14,Rank 3,14d8,114.76,115.57,113.25,2024-07-05 09:30:11
Prismatic Wyrmling,Dragon,5,Rank 5,5d12,63.31,62.87,59.34,2024-07-05 09:30:11
Dracolich,Undead,6,Rank 2,6d6+4,33.14,33.9,36.57,2024-07-05 09:30:11
Spore Spirit,Fey,6,Rank 5,6d12+2,68.14,75.69,75.16,2024-07-05 09:30:11
Faerie Dragon,Dragon,6,Rank 1,6d4+3,22.59,23.94,24.92,2024-07-05 09:30:11
Djinni,Elemental,10,Rank 0,10d2+3,19.43,20.22,19.96,2024-07-05 09:30:11
Ice Spirit,Fey,8,Rank 1,8d4+1,32.43,33.26,33.34,2024-07-05 09:30:11
Wyvern,Dragon,8,Rank 1,8d4+1,32.78,32.36,31.09,2024-07-05 09:30:11
Mummy,Undead,3,Rank 2,3d6+1,18.06,16.42,17.8,2024-07-05 09:30:11
Efreeti,Elemental,5,Rank 0,5d2,9.94,10.37,9.75,2024-07-05 09:30:11
Shadow Archfey,Fey,8,Rank 2,8d6+5,48.93,45.1,45.38,2024-07-05 09:30:11
White Dragon,Dragon,3,Rank 3,3d8,22.85,20.69,21.05,2024-07-05 09:30:11
Spore Elemental,Elemental,5,Rank 0,5d2,9.01,9.16,10.78,2024-07-05 09:30:11
Pit Lord,Devilkin,5,Rank 0,5d2+1,9.31,9.4,9.95,2024-07-05 09:30:11
Djinni,Elemental,14,Rank 0,14d2+2,28.79,27.95,27.86,2024-07-05 09:30:11
Red Archfey,Fey,19,Rank 5,19d12+1,230.69,223.94,230.14,2024-07-05 09:30:11
Demilich,Undead,7,Rank 1,7d4+3,27.14,28.1,27.71,2024-07-05 09:30:11
Pit Fiend,Demonic,2,Rank 4,2d10,22.3,22.82,24.31,2024-07-05 09:30:11
Succubus,Devilkin,4,Rank 4,4d10+3,41.41,39.93,36.95,2024-07-05 09:30:11
Pseudodragon,Dragon,5,Rank 2,5d6+4,30.94,31.23,30.86,2024-07-05 09:30:11
Magma Mephit,Elemental,12,Rank 3,12d8+1,95.0,94.88,93.68,2024-07-05 09:30:11
Platinum Demon,Demonic,11,Rank 2,11d6,64.97,64.06,65.46,2024-07-05 09:30:11
Prince of Fear,Devilkin,1,Rank 4,1d10+2,9.15,10.38,9.9,2024-07-05 09:30:11
Djinni,Elemental,4,Rank 2,4d6+1,25.56,23.6,25.81,2024-07-05 09:30:11
Imp,Demonic,5,Rank 0,5d2+1,10.44,10.45,10.51,2024-07-05 09:30:11
Goblin Villager,Devilkin,12,Rank 3,12d8+3,94.75,93.23,99.11,2024-07-05 09:30:11
Vampire,Undead,6,Rank 2,6d6,36.3,37.58,35.72,2024-07-05 09:30:11
Quasit,Demonic,8,Rank 0,8d2+1,15.83,15.49,16.53,2024-07-05 09:30:11
Bronze Faerie,Fey,7,Rank 0,7d2+2,13.45,14.95,13.28,2024-07-05 09:30:11
Faerie Dragon,Dragon,6,Rank 1,6d4,24.52,22.59,22.21,2024-07-05 09:30:11
Djinni,Elemental,10,Rank 1,10d4+4,39.33,38.23,40.23,2024-07-05 09:30:11
Brass Demon,Demonic,16,Rank 1,16d4+2,64.58,63.83,62.25,2024-07-05 09:30:11
Pseudodragon,Dragon,5,Rank 3,5d8+2,40.98,39.61,43.54,2024-07-05 09:30:11
Lich,Undead,12,Rank 3,12d8+1,95.63,97.8,94.15,2024-07-05 09:30:11
Shadow Archfey,Fey,7,Rank 0,7d2+2,14.96,14.61,13.79,2024-07-05 09:30:11
Faerie Dragon,Dragon,7,Rank 4,7d10+4,71.97,72.83,69.85,2024-07-05 09:30:11
Efreeti,Elemental,2,Rank 2,2d6,9.43,12.91,11.56,2024-07-05 09:30:11
Smoke Spirit,Fey,5,Rank 1,5d4+2,20.82,19.81,19.63,2024-07-05 09:30:11
Pseudodragon,Dragon,2,Rank 1,2d4+4,7.27,6.07,9.69,2024-07-05 09:30:11
Wight,Undead,12,Rank 4,12d10+3,116.82,122.49,117.08,2024-07-05 09:30:11
Nightmare,Demonic,5,Rank 2,5d6+5,31.65,29.81,31.79,2024-07-05 09:30:11
Prince of Fear,Devilkin,9,Rank 0,9d2+1,18.3,18.42,18.1,2024-07-05 09:30:11
Copper Drake,Dragon,8,Rank 2,8d6+1,47.61,45.7,49.77,2024-07-05 09:30:11
Ghoul,Undead,4,Rank 0,4d2+2,7.65,8.6,8.05,2024-07-05 09:30:11
Imp,Demonic,17,Rank 1,17d4,66.04,67.9,67.31,2024-07-05 09:30:11
Mud Spirit,Fey,3,Rank 0,3d2+1,6.18,6.28,5.72,2024-07-05 09:30:11
Faerie Dragon,Dragon,6,Rank 2,6d6+1,37.28,38.96,37.74,2024-07-05 09:30:11
Death Knight,Undead,12,Rank 4,12d10,120.65,121.64,123.2,2024-07-05 09:30:11
Spore Elemental,Elemental,2,Rank 2,2d6,13.26,13.43,10.78,2024-07-05 09:30:11
Bronze Archfey,Fey,6,Rank 1,6d4+1,23.51,24.03,25.52,2024-07-05 09:30:11
Magma Devil,Devilkin,1,Rank 0,1d2+2,1.71,1.0,2.78,2024-07-05 09:30:11
Ghostly Guard,Undead,8,Rank 5,8d12+4,94.74,92.58,100.36,2024-07-05 09:30:11
Sapphire Faerie,Fey,16,Rank 1,16d4,63.64,63.61,64.3,2024-07-05 09:30:11
Gold Dragon,Dragon,8,Rank 0,8d2+2,15.68,16.77,15.59,2024-07-05 09:30:11
Djinni,Elemental,3,Rank 0,3d2+3,5.81,6.06,6.42,2024-07-05 09:30:11
Succubus,Devilkin,5,Rank 0,5d2+1,9.22,10.28,10.81,2024-07-05 09:30:11
Steam Elemental,Elemental,3,Rank 1,3d4+2,11.84,12.15,13.71,2024-07-05 09:30:11
Lightning Spirit,Fey,12,Rank 2,12d6+3,71.65,71.8,70.21,2024-07-05 09:30:11
Faerie Dragon,Dragon,4,Rank 0,4d2,7.28,7.63,8.15,2024-07-05 09:30:11
Quasit,Demonic,7,Rank 3,7d8+4,57.66,55.73,55.47,2024-07-05 09:30:11
Wyvern,Dragon,9,Rank 1,9d4,36.64,34.93,37.07,2024-07-05 09:30:11
